               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11822,            0.031034,                   0,            0.010081,                   1,             0.06785,            0.015742,            0.045882,             0.02249,                   0,              0.0973,              0.0003,              0.0003
                   1,            0.066206,            0.034984,                   0,             0.26498,                 0.5,             0.27205,            0.059982,            0.047812,            0.046867,                   0,            0.093693,          0.00069307,          0.00069307
                   2,            0.060366,            0.040327,                   0,            0.026483,             0.23333,            0.019076,           0.0042508,            0.053325,             0.12664,                   0,            0.090078,           0.0010782,           0.0010782
                   3,            0.068946,            0.035177,                   0,             0.02847,             0.66667,            0.024117,           0.0067475,            0.047973,             0.40457,                   0,            0.086455,           0.0014555,           0.0014555
                   4,            0.059112,            0.034737,                   0,            0.015385,            0.066667,            0.018994,           0.0036007,            0.064283,             0.72695,                   0,            0.082825,           0.0018248,           0.0018248
                   5,            0.060816,            0.030965,                   0,            0.019274,             0.96667,            0.034889,            0.010047,            0.053947,             0.66934,                   0,            0.079186,           0.0021861,           0.0021861
                   6,            0.063274,            0.030775,                   0,            0.022319,             0.83333,            0.024396,           0.0061538,            0.044383,             0.39006,                   0,             0.07554,           0.0025396,           0.0025396
                   7,            0.055546,            0.030328,                   0,            0.020403,             0.46667,            0.018415,           0.0037688,            0.068177,             0.17109,                   0,            0.071885,           0.0028852,           0.0028852
                   8,            0.054677,             0.03092,                   0,            0.023404,             0.36667,            0.022278,           0.0043668,            0.054187,             0.77094,                   0,            0.068223,           0.0032228,           0.0032228
                   9,            0.057184,            0.031643,                   0,            0.009673,             0.83333,           0.0093583,           0.0025597,            0.061264,             0.85365,                   0,            0.064553,           0.0035525,           0.0035525
                  10,            0.051775,            0.030993,                   0,             0.02381,            0.066667,             0.01234,            0.002639,            0.069799,             0.82423,                   0,            0.060874,           0.0038743,           0.0038743
                  11,            0.046237,            0.026163,                   0,                   0,                   0,                   0,                   0,            0.089183,             0.22148,                   0,            0.057188,           0.0041882,           0.0041882
                  12,            0.057666,            0.028814,                   0,                   0,                   0,                   0,                   0,            0.071341,             0.31827,                   0,            0.053494,           0.0044941,           0.0044941
                  13,            0.056506,            0.032325,                   0,            0.015007,            0.033333,            0.001388,           0.0001388,            0.068088,             0.34449,                   0,            0.049792,           0.0047922,           0.0047922
                  14,            0.053361,            0.030575,                   0,           0.0062255,            0.033333,           0.0010263,          0.00025557,            0.067826,             0.25291,                   0,            0.046082,           0.0050823,           0.0050823
                  15,            0.053551,            0.026164,                   0,          0.00065232,            0.033333,          0.00035347,          7.0695e-05,            0.067128,             0.22907,                   0,            0.042364,           0.0053644,           0.0053644
                  16,            0.042278,            0.022468,                   0,            0.001397,            0.033333,          0.00040496,          0.00011069,            0.066787,              0.1809,                   0,            0.038639,           0.0056387,           0.0056387
                  17,            0.048788,            0.032903,                   0,            0.017837,            0.066667,               0.015,            0.003449,            0.058021,             0.11364,                   0,            0.034905,           0.0059051,           0.0059051
                  18,            0.050615,            0.028803,                   0,                   0,                   0,                   0,                   0,             0.06531,              0.4385,                   0,            0.031163,           0.0061635,           0.0061635
                  19,            0.052767,            0.029582,                   0,                   0,                   0,                   0,                   0,            0.068355,             0.72129,                   0,            0.027414,            0.006414,            0.006414
                  20,            0.051795,            0.029837,                   0,          0.00088889,             0.13333,          0.00050496,          0.00011116,            0.066871,             0.65828,                   0,            0.023657,           0.0066566,           0.0066566
                  21,            0.046051,            0.027092,                   0,           0.0002305,            0.033333,          0.00011527,          4.6109e-05,            0.067117,             0.55197,                   0,            0.019891,           0.0068913,           0.0068913
                  22,            0.055914,            0.024971,                   0,            0.080507,                 0.1,            0.038845,           0.0074011,            0.067617,             0.13375,                   0,            0.016118,            0.007118,            0.007118
                  23,            0.046041,            0.023642,                   0,             0.58545,             0.76667,             0.82251,              0.2667,            0.042549,            0.062161,                   0,            0.012337,           0.0073369,           0.0073369
                  24,            0.048537,            0.026279,                   0,             0.39651,             0.70086,             0.67209,             0.27562,            0.035354,             0.06962,                   0,           0.0085478,           0.0075478,           0.0075478
                  25,            0.047432,            0.025581,                   0,             0.18093,                 0.6,             0.20376,            0.063281,            0.036735,             0.07896,                   0,            0.007525,            0.007525,            0.007525
                  26,            0.045527,            0.023262,                   0,           0.0066875,                 0.5,           0.0056196,           0.0009998,            0.062192,             0.12201,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.046721,            0.022699,                   0,           0.0017778,             0.26667,           0.0011447,          0.00015139,             0.06302,             0.12233,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.049432,            0.021955,                   0,           0.0047822,                 0.4,           0.0042226,          0.00069522,            0.076833,             0.16373,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.041226,            0.023684,                   0,            0.097139,                 0.3,             0.06558,            0.010589,            0.064611,             0.07828,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.043829,            0.024085,                   0,             0.78186,                 0.8,             0.80996,             0.28628,            0.046057,            0.048515,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.043438,            0.023122,                   0,             0.75581,             0.72247,             0.69146,             0.30682,            0.047382,            0.080225,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.039463,            0.023632,                   0,              0.7032,                 0.7,             0.70707,             0.30307,             0.05137,            0.081619,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.046284,            0.024531,                   0,             0.30213,             0.53333,             0.31698,             0.10817,            0.056899,             0.11128,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.042396,            0.025124,                   0,             0.48301,             0.77873,             0.53785,             0.21201,            0.050322,            0.073223,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.038688,            0.022164,                   0,             0.66209,             0.56667,             0.70773,             0.39561,            0.039669,            0.039469,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.036779,            0.023057,                   0,             0.76634,             0.73333,             0.80881,             0.36327,            0.029181,            0.022158,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.039867,            0.025849,                   0,             0.36043,                 0.8,             0.39198,             0.15208,            0.031421,            0.029285,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.041559,            0.023435,                   0,             0.42714,             0.93333,             0.46653,             0.24635,            0.024267,            0.033341,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.035942,            0.021947,                   0,             0.47443,                 0.9,             0.49345,             0.22713,            0.025001,            0.036293,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.037219,            0.021711,                   0,             0.59629,             0.98486,             0.65638,             0.25428,            0.026629,            0.027144,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.039942,             0.02144,                   0,             0.88655,                   1,              0.9779,             0.37456,             0.02591,            0.020059,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.034337,            0.019845,                   0,             0.95607,             0.96667,             0.95036,             0.47768,            0.019373,            0.016081,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.035246,            0.022678,                   0,             0.98548,                   1,               0.995,             0.47434,            0.020809,            0.016848,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.030901,            0.022294,                   0,              0.9468,             0.93333,             0.96088,             0.37655,               0.022,            0.021153,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.031374,            0.021982,                   0,             0.94865,             0.96667,             0.96046,             0.49743,            0.019533,             0.02045,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.033469,            0.022191,                   0,              0.9366,                   1,             0.99306,             0.63455,            0.019112,            0.019609,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.033813,            0.024103,                   0,             0.96725,             0.98463,             0.99403,             0.62599,            0.018915,            0.018485,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.035946,            0.021823,                   0,             0.82803,             0.83333,             0.86243,             0.41113,            0.029212,            0.020606,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.034576,            0.020118,                   0,             0.72821,             0.73333,             0.83643,             0.29854,            0.037954,            0.022653,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.035223,            0.022108,                   0,             0.84543,             0.72943,             0.83357,             0.36916,            0.038084,            0.019961,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.033368,            0.021119,                   0,             0.71757,             0.66667,             0.78724,             0.31609,             0.04044,            0.020257,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.035379,            0.020295,                   0,             0.44189,                 0.7,             0.61429,             0.16358,            0.045401,            0.021078,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.039051,            0.018792,                   0,             0.46284,             0.40217,             0.39725,            0.087774,            0.046537,            0.019757,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.03378,            0.022766,                   0,             0.28333,             0.44823,             0.23196,            0.095808,             0.02723,            0.026857,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.041505,            0.018719,                   0,            0.019052,             0.13333,            0.012665,           0.0029931,            0.050752,            0.029985,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.034857,             0.02055,                   0,           0.0037394,             0.46667,           0.0053501,          0.00098611,            0.058406,            0.030396,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.035275,            0.022088,                   0,               0.004,                 0.6,            0.004693,          0.00067984,            0.059126,            0.029624,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.036122,            0.020747,                   0,             0.31554,             0.36886,             0.34532,             0.12567,            0.033996,            0.024531,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.02917,             0.02206,                   0,             0.96532,             0.92809,             0.95203,              0.4841,            0.020328,            0.011871,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.031027,            0.018546,                   0,                   1,             0.99387,               0.995,             0.43927,            0.022185,            0.010933,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.029973,            0.021208,                   0,             0.99788,                   1,               0.995,             0.59621,            0.017827,           0.0082797,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.031575,            0.019727,                   0,             0.99764,                   1,               0.995,             0.66836,            0.014616,           0.0074567,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.031084,             0.01955,                   0,             0.99754,                   1,               0.995,             0.67527,            0.015253,           0.0086652,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.029287,            0.020053,                   0,              0.9981,                   1,               0.995,             0.67237,             0.01603,            0.011245,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.029009,            0.020214,                   0,             0.99722,                   1,               0.995,              0.7024,            0.014574,            0.010199,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.034463,            0.018506,                   0,             0.99748,                   1,               0.995,             0.69181,            0.014201,           0.0084962,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.031746,            0.019096,                   0,             0.99766,                   1,               0.995,             0.65276,            0.016263,            0.008802,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.03399,            0.020685,                   0,             0.99758,                   1,               0.995,             0.66417,            0.018118,           0.0094827,                   0,            0.003367,            0.003367,            0.003367
                  69,              0.0283,            0.018615,                   0,             0.99734,                   1,               0.995,             0.69444,            0.016694,           0.0096606,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.030105,            0.019057,                   0,              0.9972,                   1,               0.995,             0.74476,            0.016094,           0.0085986,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.027901,            0.017089,                   0,             0.99645,                   1,               0.995,             0.77979,            0.014157,           0.0078418,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.027609,            0.017368,                   0,             0.99582,                   1,               0.995,             0.72973,            0.014409,           0.0085059,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.030313,            0.018187,                   0,             0.99612,                   1,               0.995,             0.71924,            0.015926,           0.0092236,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.034358,            0.020299,                   0,             0.99676,                   1,               0.995,              0.7109,            0.015544,           0.0095068,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.032926,            0.023059,                   0,             0.99753,                   1,               0.995,             0.73133,            0.014727,           0.0085449,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02124,            0.017935,                   0,             0.99758,                   1,               0.995,             0.76159,            0.014163,           0.0072412,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.029096,            0.020142,                   0,             0.99764,                   1,               0.995,              0.7368,            0.014675,           0.0073291,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.027554,            0.018267,                   0,             0.99756,                   1,               0.995,             0.74898,             0.01375,           0.0073853,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.026143,            0.019673,                   0,             0.99756,                   1,               0.995,             0.76378,            0.012617,           0.0076929,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.027192,            0.019602,                   0,             0.99754,                   1,               0.995,             0.76324,            0.012512,           0.0080542,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.028111,            0.017643,                   0,             0.99753,                   1,               0.995,             0.72436,            0.013262,            0.008208,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.030764,            0.019385,                   0,             0.99759,                   1,               0.995,             0.69448,             0.01429,           0.0080249,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.024907,            0.016336,                   0,             0.99761,                   1,               0.995,             0.66344,            0.015085,           0.0078052,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.027761,            0.018266,                   0,             0.99755,                   1,               0.995,             0.67492,            0.014784,            0.007395,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.02592,            0.016137,                   0,             0.99764,                   1,               0.995,             0.73133,            0.013583,           0.0070068,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.026331,            0.019167,                   0,             0.99764,                   1,               0.995,             0.77839,            0.013038,           0.0066992,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.02374,            0.016713,                   0,             0.99773,                   1,               0.995,             0.77648,            0.012872,           0.0065016,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.028554,            0.016419,                   0,             0.99775,                   1,               0.995,             0.80627,             0.01157,           0.0062453,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.028059,             0.01926,                   0,             0.99783,                   1,               0.995,             0.77766,            0.011203,           0.0061855,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.024422,            0.015258,                   0,             0.99784,                   1,               0.995,             0.80562,            0.010975,           0.0060803,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.026356,            0.016017,                   0,             0.99788,                   1,               0.995,             0.79914,            0.010656,           0.0060315,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.02798,            0.019855,                   0,             0.99796,                   1,               0.995,             0.80094,            0.010562,           0.0061098,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.023714,             0.01641,                   0,             0.99795,                   1,               0.995,             0.78052,            0.010831,           0.0063515,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.024301,            0.018397,                   0,             0.99792,                   1,               0.995,             0.75851,            0.011213,           0.0066652,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.025454,               0.019,                   0,             0.99793,                   1,               0.995,             0.75842,            0.011208,           0.0067274,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.023902,            0.016954,                   0,             0.99794,                   1,               0.995,             0.77371,            0.010956,           0.0066359,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.025066,            0.015796,                   0,             0.99796,                   1,               0.995,             0.78441,            0.010606,           0.0064713,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.026493,            0.018123,                   0,             0.99796,                   1,               0.995,             0.80046,            0.010345,           0.0063187,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.028453,            0.016884,                   0,             0.99794,                   1,               0.995,             0.80505,             0.01017,           0.0062198,                   0,            0.000298,            0.000298,            0.000298
